mileage,make,model,fuel,gear,offerType,price,hp,year,mileage_bins
71908,Nissan,Qashqai,Gasoline,Manual,Used,7900.0,117.0,2011,under 100k
93510,Kia,Ceed / cee'd,Gasoline,Manual,Used,7900.0,90.0,2011,under 100k
131322,Volkswagen,Passat Variant,Gasoline,Manual,Used,7900.0,122.0,2011,under 150k
228000,Volkswagen,Passat Variant,Diesel,Manual,Used,7900.0,170.0,2011,over 200k
61999,Honda,Civic,Gasoline,Manual,Used,7949.0,99.0,2011,under 100k
87216,Volkswagen,Golf,Gasoline,Manual,Used,7970.0,122.0,2011,under 100k
120600,Ford,Focus,Gasoline,Manual,Used,7970.0,150.0,2011,under 150k
119850,Volkswagen,Polo,Gasoline,Automatic,Used,7990.0,86.0,2011,under 150k
154500,Volkswagen,Passat Variant,Gasoline,Manual,Used,7990.0,160.0,2011,under 200k
92800,Renault,Megane,Gasoline,Manual,Used,7990.0,131.0,2011,under 100k
118210,Volkswagen,Golf,Gasoline,Manual,Used,7990.0,160.0,2011,under 150k
86000,Opel,Zafira,Gasoline,Manual,Used,7998.0,116.0,2011,under 100k
24170,Toyota,Auris,Gasoline,Automatic,Used,7999.0,132.0,2011,under 50k
188758,Volkswagen,Passat Variant,Diesel,Manual,Used,7999.0,140.0,2011,under 200k
107001,Volkswagen,Passat,Gasoline,Manual,Used,7999.0,122.0,2011,under 150k
81179,Ford,C-Max,Gasoline,Manual,Used,7900.0,105.0,2012,under 100k
98669,Toyota,Yaris,Electric/Gasoline,Automatic,Used,7900.0,75.0,2012,under 100k
86747,Skoda,Fabia,Gasoline,Manual,Used,7900.0,86.0,2012,under 100k
147500,Skoda,Superb,Diesel,Manual,Used,7900.0,140.0,2012,under 150k
140000,Toyota,Avensis,Diesel,Manual,Used,7950.0,124.0,2012,under 150k
89400,Volkswagen,Golf Plus,Gasoline,Manual,Used,7980.0,122.0,2012,under 100k
100000,Skoda,Octavia,Gasoline,Manual,Used,7980.0,122.0,2012,under 100k
14300,Opel,Corsa,Gasoline,Automatic,Used,7990.0,101.0,2012,under 50k
102000,Opel,Astra,Gasoline,Manual,Used,7990.0,179.0,2012,under 150k
93850,Renault,Grand Scenic,Diesel,,Used,7990.0,110.0,2012,under 100k
98600,SEAT,Altea,Gasoline,Automatic,Used,7990.0,160.0,2012,under 100k
123000,Ford,Mondeo,Gasoline,Manual,Used,7990.0,160.0,2012,under 150k
70600,Toyota,Yaris,Gasoline,Automatic,Used,7990.0,99.0,2012,under 100k
35300,Kia,Ceed / cee'd,Gasoline,Manual,Used,7990.0,99.0,2012,under 50k
128000,Volkswagen,Passat,Gasoline,Manual,Used,7990.0,122.0,2012,under 150k
91000,Volkswagen,Jetta,Gasoline,Manual,Used,7990.0,105.0,2012,under 100k
100000,Hyundai,i40,Gasoline,Manual,Used,7999.0,135.0,2012,under 100k
105531,Toyota,Auris,Gasoline,Automatic,Used,7999.0,99.0,2012,under 150k
110405,Volkswagen,Passat Variant,Gasoline,Manual,Used,7999.0,122.0,2012,under 150k
261000,BMW,320,Diesel,Automatic,Used,8000.0,184.0,2012,over 200k
82822,Toyota,Yaris,Electric/Gasoline,Automatic,Used,8500.0,75.0,2013,under 100k
35000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8500.0,105.0,2013,under 50k
148000,Citroen,Grand C4 Picasso,Diesel,Automatic,Used,8500.0,150.0,2013,under 150k
44700,Opel,Adam,Gasoline,Manual,Used,8500.0,69.0,2013,under 50k
